age,speciality_years,speciality,wing,entry_level,occupation,intervention,ethnicity, sex,hours,country,target
34,2,Cardiology,W,minor-medium,ER doctors,Therapeutic, White, Male,44, Mexico,0
59,12,Emergency,W,minor-medium,Therapist,Therapeutic, White, Male,55, United-States,1
64,10,Psychiatry,S,medium-high,Patient,Other, Black, Male,44, United-States,0
61,12,Emergency,W,minor-medium,Patient,Therapeutic, Black, Male,55, United-States,1
33,10,Psychiatry,W,minor-medium,Surgeons,Therapeutic, White, Male,77, United-States,1
29,12,Emergency,S,minor,Gift Shop,Other, White, Male,44, United-States,1
63,12,Emergency,W,high,Medical Assistants,Other, Black, Female,60, United-States,1
48,12,Emergency,W,minor-medium,Nurse,Therapeutic, White, Male,44, United-States,1
29,10,Psychiatry,W,minor-medium,Medical Assistants,Therapeutic, White, Male,44, United-States,0
35,13,Opthalmology,N,minor,Lab,Anesthesia, Black, Male,44, United-States,0
24,10,Psychiatry,W,high,Therapist,Anesthesia, White, Male,44, United-States,0
42,10,Psychiatry,SW,minor-medium,Techs,Therapeutic, White, Male,55, United-States,0
18,9,Gastroenterology,W,minor,Therapist,Anesthesia, White, Female,6, United-States,0
62,10,Psychiatry,NW,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
22,12,Emergency,W,minor,ER doctors,Anesthesia, White, Female,8, United-States,0
45,10,Psychiatry,SW,high,Patient,Diagnostic, White, Male,29, United-States,0
83,3,Anaesthesiology,W,minor,ER doctors,Other, White, Male,22, United-States,0
55,12,Emergency,S,medium-high,Dietitian,Diagnostic, White, Male,44, United-States,0
29,12,Emergency,W,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,1
64,12,Emergency,W,high,Dietitian,Other, White, Female,52, United-States,0
46,12,Emergency,W,minor,Lab,Other, White, Female,44, United-States,1
27,8,Orthopedic,W,minor,Nurse,Anesthesia, Black, Female,44, United-States,0
47,3,Anaesthesiology,W,minor,Nurse,Diagnostic, White, Female,44, Mexico,0
29,15,Pulmonary,S,minor,Dietitian,Other, Amer-Indian-Eskimo, Female,47, United-States,0
41,10,Psychiatry,W,minor,Medical Assistants,Other, White, Female,41, United-States,0
60,7,Nephrology,SW,minor-medium,Surgeons,Therapeutic, White, Male,55, United-States,0
30,12,Emergency,W,minor-medium,Patient,Therapeutic, Amer-Indian-Eskimo, Male,60, United-States,0
33,10,Psychiatry,W,minor-medium,Surgeons,Therapeutic, White, Male,71, United-States,1
26,10,Psychiatry,W,minor,Techs,Other, Amer-Indian-Eskimo, Male,38, United-States,0
